term,score,already_in_dictionary
中国,426,no
外国,331,no
自動車,301,no
政治,249,no
文化,225,no
全国,124,no
災害,115,no
憲法,104,no
韓国,104,no
原料,95,no
江戸時代,90,no
政府,84,no
福岡県,73,no
天皇,72,no
時代,63,no
機械,62,no
関税自主権,59,no
治外法権,58,no
方法,58,no
鉄道,57,no
沖縄県,56,no
アメリカ,54,no
燃料,51,no
選挙権,51,no
森林,45,no
トラック,45,no
条約,44,no
利根川,43,no
北海道,42,no
九州,42,no
日本,42,no
江戸,42,no
宮城県,40,no
新潟県,40,no
仏教,39,no
ロボット,39,no
埼玉県,38,no
大韓民国,38,no
明治時代,38,no
和歌山県,37,no
廃藩置県,37,no
徳島県,37,no
裁判,37,no
学校,36,no
佐賀県,36,no
静岡県,36,no
電気,36,no
外国の人,36,no
アメリカ合衆国,36,no
あたたかい,36,no
筑後川,33,no
豪族,33,no
太平洋,32,no
語順整序夏川,32,no
長野県,31,no
沖縄,30,no
機械類,30,no
安全,30,no
きかい,30,no
日露戦争,29,no
室町時代,29,no
工業生産,28,no
食料,27,no
主権,27,no
交通整理,27,no
減災,27,no
テレビ,27,no
ラジオ,27,no
化学工業,26,no
高知県,26,no
琉球王国,26,no
青森県,25,no
明治政府,25,no
芝川,25,no
公共しせつ,24,no
高い,24,no
公園,24,no
兵庫県,24,no
高さ,24,no
健康,24,no
卑弥呼,24,no
大阪,24,no
アジア,24,no
日中戦争,24,no
野菜,24,no
産地,24,no
減っている,24,no
福岡,24,no
中華人民共和国,24,no
英語,24,no
家族,24,no
ひなん地,24,no
工事,24,no
西南戦争,24,no
市議会,24,no
島根県,23,no
西洋,23,no
平和条約,23,no
日清戦争,23,no
国風文化,23,no
入国,23,no
愛知県,22,no
熊本県,22,no
邪馬台国,22,no
選挙法,22,no
星川,22,no
帰国,22,no
田や畑,21,no
有明海,21,no
人権,21,no
ヨーロッパ,21,no
アプリ,21,no
国民,21,no
アイヌ,21,no
南北,21,no
四国,21,no
開発,21,no
鹿児島県,21,no
観光客,21,no
すずしい,21,no
難民,21,no
けいさつ,21,no
鶴見川,20,no
執権,20,no
政権,20,no
世界各国,20,no
機械工業,20,no
奈良県,20,no
御笠川,20,no
火山,20,no
山形県,19,no
満州国,19,no
開国,19,no
博多港,19,no
金属工業,19,no
海外生産,19,no
金閣,18,no
等高線,18,no
広い,18,no
役所,18,no
ハンセン病,18,no
朝鮮,18,no
渡来人,18,no
五街道,18,no
交通,18,no
自然,18,no
高く,18,no
低く,18,no
朝廷,18,no
源頼朝,18,no
東北,18,no
満州,18,no
雑誌,18,no
新鮮,18,no
果物,18,no
安全性,18,no
重さ,18,no
地産地消,18,no
徴兵令,18,no
水産物,18,no
スーパーマーケット,18,no
ねだん,18,no
お金,18,no
車いす,18,no
コンピューター,18,no
時間,18,no
自動,18,no
井戸,18,no
ロシア,18,no
イギリス,18,no
大分県,18,no
小石原焼,18,no
田んぼ,18,no
へって,18,no
12万人,18,no
アフリカ,18,no
衣類,18,no
プラスチック,18,no
自衛隊,18,no
看板,18,no
東日本大震災,18,no
農作業,18,no
予算案,18,no
多い,18,no
雨水,18,no
注文,18,no
原油,18,no
見沼新田,18,no
譜代,18,no
外様,18,no
資源ごみ,18,no
もやすごみ,18,no
ごみバンカ,18,no
リユース,18,no
神奈川県,18,no
重化学工業,18,no
漁港,18,no
日本海,17,no
足尾銅山,17,no
権利条約,17,no
農業機械,16,no
食料品工業,16,no
市民遺産,16,no
相模川,16,no
不平等条約,16,no
応仁の乱,15,no
キリスト教,15,no
ビル,15,no
新横浜駅,15,no
山口県,15,no
土地,15,no
農民,15,no
低い,15,no
工業製品,15,no
外務省,15,no
日本書紀,15,no
地頭,15,no
征夷大将軍,15,no
東京,15,no
日米和親条約,15,no
レストラン,15,no
手作業,15,no
長い,15,no
道路,15,no
人口,15,no
ふえて,15,no
仕事,15,no
遣唐使,15,no
住民,15,no
地いきの人々,15,no
バーコード,15,no
新聞,15,no
田中正造,15,no
計画,15,no
地球温暖化,15,no
けいさつしょ,15,no
地いきの人,15,no
人の手,15,no
親藩,15,no
回収しせつ,15,no
リデュース,15,no
黒潮（日本海流）,15,no
長崎県,15,no
富士山,14,no
岐阜県,14,no
富山県,14,no
参政権,14,no
相手国,14,no
岩手県,14,no
日米修好通商条約,14,no
両国,14,no
消費税,13,no
群馬県,13,no
特権,13,no
電気自動車,13,no
戦国,13,no
三重県,13,no
各国,13,no
軽工業,13,no
室町,12,no
鉄砲,12,no
たてもの,12,no
北西,12,no
南西,12,no
みんな,12,no
消防しょ,12,no
東海道,12,no
7つ,12,no
東京都,12,no
近畿地方,12,no
バリアフリー法,12,no
不在者投票,12,no
期日前投票,12,no
国民審査,12,no
アイヌ文化振興法,12,no
被爆国,12,no
農林水産省,12,no
厚生労働省,12,no
1万年,12,no
どんぐり,12,no
100万,12,no
近松門左衛門,12,no
百姓,12,no
観光,12,no
浮世絵,12,no
安定,12,no
3食,12,no
屋台,12,no
農具,12,no
東大寺,12,no
解体新書,12,no
打ちこわし,12,no
役人,12,no
武芸,12,no
平治の乱,12,no
守護,12,no
北条時宗,12,no
10万人,12,no
100万人,12,no
北東部,12,no
占領,12,no
第二次世界大戦,12,no
東南アジア,12,no
ソビエト連邦（ソ連）,12,no
小麦,12,no
直売所,12,no
食料自給率,12,no
れんが,12,no
電柱,12,no
日米和親,12,no
不平等,12,no
一揆,12,no
徳川慶喜,12,no
西郷隆盛,12,no
平民,12,no
男子,12,no
3年間,12,no
にんじん,12,no
盆地,12,no
田おこし,12,no
コンバイン,12,no
利益,12,no
全国各地,12,no
耕地整理,12,no
大豆,12,no
売り上げ,12,no
品物,12,no
お客さん,12,no
べんり,12,no
せんたく板,12,no
山脈,12,no
標高,12,no
寝殿造,12,no
猿楽,12,no
近い,12,no
姉妹都市,12,no
生活,12,no
イスラム教,12,no
オーストラリア,12,no
大西洋,12,no
ブラジル,12,no
ロシア連邦,12,no
太陽,12,no
竹島,12,no
北方領土,12,no
焼き物,12,no
東峰村,12,no
へっている,12,no
海ぞい,12,no
ぜいきん,12,no
企業,12,no
民族,12,no
漢族（漢民族）,12,no
交流,12,no
ポルトガル語,12,no
石油,12,no
5回,12,no
メッカ,12,no
いつ,12,no
そなえ,12,no
関係機関,12,no
災害対策本部,12,no
通信指令室,12,no
自治会,12,no
ひなん訓練,12,no
徳島市,12,no
禁止,12,no
海外,12,no
ほぞん,12,no
住む家,12,no
移転,12,no
スマートフォン,12,no
POSシステム,12,no
本部,12,no
事情,12,no
選べる,12,no
人工知能,12,no
陸奥宗光,12,no
感染症,12,no
女性,12,no
高齢化,12,no
人口減少社会,12,no
備え,12,no
負担,12,no
南牧村,12,no
はくさい,12,no
さんご礁,12,no
他の地域,12,no
温度,12,no
軍用地,12,no
水不足,12,no
開拓,12,no
アフガニスタン,12,no
ひなん場所,12,no
立ち入りけんさ,12,no
防火しどう,12,no
小さな部品,12,no
事故,12,no
事故が起きた年,12,no
交通ルール,12,no
せんい工業,12,no
技術,12,no
エコタウン,12,no
天然資源,12,no
航空機,12,no
律令,12,no
聖武天皇,12,no
大仏,12,no
新田,12,no
多く,12,no
ぬまのへり,12,no
弥惣兵衛,12,no
3分の2,12,no
土砂くずれ,12,no
天然林,12,no
人工林,12,no
緑の雇用事業,12,no
自然環境,12,no
風水害,12,no
噴火,12,no
火山災害,12,no
なだれ,12,no
放送局,12,no
しゅるい,12,no
味つけ,12,no
えいせい,12,no
太宰府天満宮,12,no
発見,12,no
日本遺産,12,no
景観,12,no
映像,12,no
タウンマップ,12,no
取材,12,no
打ち合わせ,12,no
取水ポンプ場,12,no
ちんさ池,12,no
ちんでん池,12,no
ろか池,12,no
主従関係,12,no
ポルトガル,12,no
ふみつけない,12,no
種類,12,no
収集,12,no
収集車,12,no
焼きゃくろ,12,no
鉄製品,12,no
リマン海流,12,no
親潮（千島海流）,12,no
あみ,12,no
日本近海,12,no
谷ケ原浄水場,12,no
水産資源,12,no
昭和時代,11,no
綾瀬川,11,no
徳川,11,no
千葉県,11,no
茨城県,11,no
朝鮮民主主義人民共和国,11,no
日中平和友好条約,11,no
南アフリカ共和国,10,no
元荒川,10,no
福岡空港,10,no
年戦争,10,no
日米安全保障条約,10,no
河川,10,no
博多,9,no
北東,9,no
首都高速,9,no
大阪府,9,no
東北地方,9,no
ゆるやか,9,no
特産品,9,no
都市,9,no
支援,9,no
石包丁,9,no
鑑真,9,no
古事記,9,no
経済,9,no
水墨画,9,no
肥料,9,no
旅行,9,no
伊能忠敬,9,no
本居宣長,9,no
太政大臣,9,no
ドイツ,9,no
正しい情報,9,no
戦争の訓練,9,no
空襲,9,no
疎開,9,no
長崎,9,no
日米修好通商,9,no
なかった,9,no
平等,9,no
五か条の御誓文,9,no
士族,9,no
地租改正,9,no
殖産興業,9,no
みかん,9,no
ぶどう,9,no
トマト,9,no
田植え,9,no
飛行機,9,no
増えている,9,no
値段,9,no
下がる,9,no
台地,9,no
面積,9,no
短い,9,no
京都,9,no
書院造,9,no
田楽,9,no
遠い,9,no
日本人,9,no
インド洋,9,no
東西,9,no
排他的経済水域,9,no
民陶むら祭,9,no
新幹線,9,no
住たく地,9,no
へった,9,no
ふえた,9,no
言葉,9,no
石炭,9,no
鉄鉱石,9,no
ひなん,9,no
東京オリンピック,9,no
国際連盟,9,no
情報通信技術,9,no
伊藤博文,9,no
自由党,9,no
立憲改進党,9,no
台湾,9,no
植民地,9,no
小村寿太郎,9,no
野口英世,9,no
バス,9,no
核家族,9,no
補助金,9,no
財源,9,no
火事,9,no
ひなんくんれん,9,no
シート,9,no
関連工場,9,no
現地,9,no
交通事故,9,no
パトロール,9,no
近畿,9,no
地元,9,no
蘇我,9,no
藤原京,9,no
国分寺,9,no
かな文字,9,no
木材,9,no
林業インターンシップ,9,no
林業大学校,9,no
避難,9,no
阪神・淡路大震災,9,no
史跡,9,no
編集,9,no
かたより,9,no
海水,9,no
下水処理しせつ,9,no
オランダ,9,no
しゅうかく,9,no
もやして,9,no
プランクトン,9,no
宮崎県,9,no
栃木県,9,no
山梨県,9,no
生産方法,9,no
新政府,9,no
朝鮮戦争,9,no
上下水道,9,no
北九州港,8,no
国家総動員法,8,no
福島県,8,no
瀬戸内海,8,no
